title,regukar_price,special_price,monthly_emi,brand,model,storage
Asus M515DA AMD Ryzen 3 3250U 4GB RAM 1TB HDD 15.6 Inch HD Display Slate Grey Laptop,50240,46500,4187,Asus,Asus M515DA,1TB HDD
Acer Extensa 15 EX215-54-34SE Intel Core i3 1115G4 8GB RAM 1TB HDD 15.6 Inch FHD Display Charcoal Black Laptop,50240,46500,4187,Acer,Acer Extensa 15 EX215-54-34SE,1TB HDD
Asus E510MA Intel CDC N4020 4GB RAM 512GB SSD 15.6 Inch FHD Display Star Black Laptop #EJ601W-E510MA,50780,47000,4232,Asus,Asus E510MA,512GB SSD
Asus X515JA Intel Core i3 1005G1 4GB RAM 1TB HDD 15.6 Inch FHD WV Display Slate Grey Laptop,50780,47000,4232,Asus,Asus X515JA,1TB HDD
Lenovo IdeaPad Slim 3i 15IIL Intel Core i3 1005G1 4GB Ram 256GB SSD 15.6 Inch FHD Display Platinum Grey Laptop,51320,47500,4277,Lenovo,Lenovo IdeaPad Slim 3i 15IIL,256GB SSD
"Asus D415DA AMD Ryzen 3 3250U 8GB RAM 1TB HDD 14 Inch HD Display, Slate Grey Laptop",51540,47900,4295,Asus,Asus D415DA,1TB HDD
Asus M515DA AMD Ryzen 3 3250U 8GB RAM 1TB HDD 15.6 Inch HD Display Slate Grey Laptop,51540,47900,4295,Asus,Asus M515DA,1TB HDD
Chuwi MiniBook X 2 in 1 Intel Core N100 12GB RAM 512GB SSD 10.5 Inch FHD+ WUXGA Touch Display Grey Laptop,52080,48500,4340,Chuwi,Chuwi MiniBook X 2 in 1,512GB SSD
Asus D515DA AMD Ryzen 3 3250U 4GB RAM 512GB SSD 15.6 Inch FHD Display Slate Grey Laptop #D515DA-EJ1576W,52620,48900,4385,Asus,Asus D515DA,512GB SSD
Asus D515DA AMD Ryzen 3 3250U 4GB RAM 512GB SSD 15.6 Inch FHD Display Peacock Blue Laptop,52620,48900,4385,Asus,Asus D515DA,512GB SSD
Asus D515DA AMD Ryzen 3 3250U 4GB RAM 512GB SSD 15.6 Inch FHD Display Slate Grey Laptop #EJ1325W-D515DA,52620,48900,4385,Asus,Asus D515DA,512GB SSD
Chuwi UBook X 2 in 1 Intel Core i5 10210Y 8GB RAM 256GB SSD 12 Inch 2K Touch Display Grey Laptop,53380,49500,4448,Chuwi,Chuwi UBook X 2 in 1,256GB SSD
"Asus D515DA AMD Ryzen 3 3250U 8GB RAM, 512GB SSD 15.6 Inch FHD Display Slate Grey Laptop",54250,50500,4521,Asus,Asus D515DA,512GB SSD
"Asus D515DA AMD Ryzen 3 3250U 8GB RAM, 512GB SSD 15.6 Inch FHD Display Peacock Blue Laptop",54250,50500,4521,Asus,Asus D515DA,512GB SSD
Asus X515EA Intel Core i3 1115G4 4GB RAM 1TB HDD 15.6 Inch FHD Display Peacock Blue Laptop,56100,51900,4675,Asus,Asus X515EA,1TB HDD
Asus X515EA Intel Core i3 1115G4 4GB RAM 1TB HDD 15.6 Inch FHD Display Peacock Blue Laptop #BQ2315W-X515EA,56100,51900,4675,Asus,Asus X515EA,1TB HDD
Lenovo IdeaPad Slim 3i 15ITL6 Core i3 1115G4 4GB RAM 1TB HDD 15.6 Inch FHD Display Arctic Grey Laptop,57180,52900,4765,Lenovo,Lenovo IdeaPad Slim 3i 15ITL6,1TB HDD
Asus X515EA Intel Core i3 1115G4 8GB RAM 1TB HDD + 256GB SSD 15.6 Inch FHD Display Peacock Blue Laptop,58050,53500,4838,Asus,Asus X515EA,1TB HDD+256GB SSD
Lenovo IdeaPad Slim 3i 15ITL6 Intel Core i3 1115G4 8GB RAM 256GB SSD 15.6 Inch FHD Display Arctic Grey Laptop,57830,53500,4819,Lenovo,Lenovo IdeaPad Slim 3i 15ITL6,256GB SSD
Lenovo IdeaPad 1 15AMN7 AMD Ryzen 3 7320U 8GB RAM 512GB SSD 15.6 Inch FHD Display Cloud Grey Laptop,57510,53800,4793,Lenovo,Lenovo IdeaPad 1 15AMN7,512GB SSD
Lenovo IdeaPad 1 15AMN7 AMD Ryzen 3 7320U 8GB RAM 512GB SSD 15.6 Inch FHD Display Sand Laptop,57510,53800,4793,Lenovo,Lenovo IdeaPad 1 15AMN7,512GB SSD
Lenovo IdeaPad Slim 3i 15ITL Intel Core i3 1115G4 4GB RAM 512GB SSD 15.6 Inch FHD Display Arctic Grey Laptop,58920,54500,4910,Lenovo,Lenovo IdeaPad Slim 3i 15ITL,512GB SSD
MSI Modern 14 C11M Intel Core i3 1115G4 8GB RAM 512GB SSD 14 Inch FHD Display Classic Black Laptop#9S7-14J312-242,59130,55000,4928,MSI,MSI Modern 14 C11M,512GB SSD
Asus X415EA Intel Core i3 1115G4 4GB RAM 256GB SSD 14 Inch FHD Display Slate Grey Laptop,59680,55000,4973,Asus,Asus X415EA,256GB SSD
Lenovo IdeaPad Slim 3i 14IAU7 Intel Core i3 1215U 8GB RAM 256GB SSD 14 Inch FHD Display Misty Blue Laptop,61090,56500,5091,Lenovo,Lenovo IdeaPad Slim 3i 14IAU7,256GB SSD
Lenovo IdeaPad Slim 3i 14IAU7 Intel Core i3 1215U 8GB RAM 256GB SSD 14 Inch FHD Display Abyss Blue Laptop,61090,56500,5091,Lenovo,Lenovo IdeaPad Slim 3i 14IAU7,256GB SSD
Lenovo IdeaPad Slim 3i 14IAU7 Intel Core i3 1215U 8GB RAM 256GB SSD 14 Inch FHD Display Arctic Grey Laptop,61090,56500,5091,Lenovo,Lenovo IdeaPad Slim 3i 14IAU7,256GB SSD
Lenovo IdeaPad Slim 3i 14ITL Intel Core i3 1115G4 8GB RAM 256GB SSD 14 Inch FHD Display Arctic Grey Laptop,61410,56900,5118,Lenovo,Lenovo IdeaPad Slim 3i 14ITL,256GB SSD
Asus X415EA 11th Gen Intel Core i3 1115G4 8GB RAM 1TB HDD + 256GB SSD 14 Inch FHD Display Slate Grey Laptop,61630,57000,5136,Asus,Asus X415EA,1TB HDD + 256GB NVMe SSD
Asus ExpertBook P2451FA Intel Core i3 10110U 4GB RAM 1TB HDD 14 Inch FHD Display Star Black Laptop,61630,57000,5136,Asus,Asus ExpertBook P2451FA,1TB HDD
Lenovo IdeaPad Slim 3i 15ITL6 Intel Core i3 1115G4 8GB RAM 512GB SSD 15.6 Inch FHD Display Arctic Grey Laptop,62170,57500,5181,Lenovo,Lenovo IdeaPad Slim 3i 15ITL6,512GB SSD
Lenovo IdeaPad Slim 3i 14ITL6 Intel Core i3 1115G4 8GB RAM 512GB SSD 14 Inch FHD Display Arctic Grey Laptop,62170,57500,5181,Lenovo,Lenovo IdeaPad Slim 3i 14ITL6,512GB SSD
Acer Aspire 3 A315-59-39P4 Intel Core i3 1215U 8GB RAM 512GB SSD 15.6 Inch FHD Display Willow Green Laptop,62710,58000,5226,Acer,Acer Aspire 3 A315-59-39P4,512GB SSD
Acer Aspire 3 A315-59 Intel Core i3 1215U 8GB RAM 512GB SSD 15.6 Inch FHD Display Pure Silver Laptop,62930,58000,5244,Acer,Acer Aspire 3 A315-59,512GB SSD
HP 250 G8 Intel Core i3 1115G4 8GB RAM 1TB HDD 15.6 Inch FHD Display Silver Laptop,63260,58500,5272,Hp,HP 250 G8,1TB HDD
HP 15s-du3560TU Intel Core i3 1125G4 8GB RAM 1TB HDD 15.6 Inch FHD Display Silver Laptop,63690,58900,5308,HP,HP 15s-du3560TU,1TB HDD
Acer Aspire 3 A315-510P Intel Core i3 N305 8GB RAM 512GB SSD 15.6 Inch FHD Display Pure Silver Laptop,63690,58900,5308,Acer,Acer Aspire 3 A315-510P,512GB SSD
"Infinix INBOOK Y2 Plus Intel Core i5 1155G7 8GB RAM, 512GB SSD 15.6 Inch FHD Display Silver Laptop",64000,58990,5333,Infinix,Infinix INBOOK Y2 Plus,512GB SSD
"Infinix INBOOK Y2 Plus Intel Core i5 1155G7 8GB RAM, 512GB SSD 15.6 Inch FHD Display Grey Laptop",64000,58990,5333,Infinix,Infinix INBOOK Y2 Plus,512GB SSD
Lenovo V15 Gen 3 Intel Core i3 1215U 8GB RAM 512GB SSD 15.6 Inch FHD Display Iron Grey Laptop,64020,59500,5335,Lenovo,Lenovo V15 Gen 3,512GB SSD
Huawei MateBook B3-520 Intel Core i3 1115G4 8GB RAM 256GB SSD 15.6 Inch FHD Display Space Gray Laptop,64670,59800,5389,Huawei,Huawei MateBook B3-520,256GB SSD
Asus VivoBook S15 S513EA Intel Core i3 1115G4 4GB RAM 512GB SSD 15.6 Inch FHD OLED Display Indie Black Laptop,66730,61900,5561,Asus,Asus VivoBook S15 S513EA,512GB SSD
Asus VivoBook 15 K513EA Intel Core i3 1115G4 4GB RAM 512GB SSD 15.6 Inch FHD OLED Display Hearty Gold Laptop,66730,61900,5561,Asus,Asus VivoBook 15 K513EA,512GB SSD
"Avita LIBER V14 Intel Core i5 1135G7 8GB RAM, 512GB SSD 14 Inch FHD Display Star Silver Laptop",66730,62000,5561,Avita,Avita LIBER V14,512GB SSD
"Avita LIBER V14 Intel Core i5 1135G7 8GB RAM, 512GB SSD 14 Inch FHD Display Infinite Black Laptop",66730,62000,5561,Avita,Avita LIBER V14,512GB SSD
"Avita LIBER V14 Intel Core i5 1135G7 8GB RAM, 512GB SSD 14 Inch FHD Display Star Silver Laptop",66730,62000,5561,Avita,Avita LIBER V14,512GB SSD
"Avita LIBER V14 Intel Core i5 1135G7 8GB RAM, 512GB SSD 14 Inch FHD Display Aqua Blue Laptop",66730,62000,5561,Avita,Avita LIBER V14,512GB SSD
"Avita LIBER V14 Intel Core i5 1135G7 8GBRAM, 512GB SSD 14 Inch FHD Display Anchor Grey Laptop",66730,62000,5561,Avita,Avita LIBER V14,512GB SSD
"Avita LIBER V14 Intel Core i5 1135G7 8GB RAM, 512GB SSD 14 Inch FHD Display Golden Matt Black Laptop",66730,62000,5561,Avita,Avita LIBER V14,512GB SSD
"Avita LIBER V14 Intel Core i5 1135G7 8GB RAM, 512GB SSD 14 Inch FHD Display Flowers on Yellow Laptop",66730,62000,5561,Avita,Avita LIBER V14,512GB SSD
"Avita LIBER V14 Intel Core i5 1135G7 8GB RAM, 512GB SSD 14 Inch FHD Display Paisley on Lilac Laptop",66730,62000,5561,Avita,Avita LIBER V14,512GB SSD
"Avita LIBER V14 Intel Core i5 1135G7 8GB RAM, 512GB SSD 14 Inch FHD Display Snowflakes on Azure Blue Laptop",66730,62000,5561,Avita,Avita LIBER V14,512GB SSD
"Avita LIBER V14 Intel Core i5 1135G7 8GB RAM, 512GB SSD 14 Inch FHD Display Snowflakes on Mountain Blue Laptop",66730,62000,5561,Avita,Avita LIBER V14,512GB SSD
"Avita LIBER V14 Intel Core i5 1135G7 8GB RAM, 512GB SSD 14 Inch FHD Display Iris on Ruby Laptop",66730,62000,5561,Avita,Avita LIBER V14,512GB SSD
Chuwi CoreBook XPro Intel Core i3 1215U 16GB RAM 512GB SSD 15.6 Inch FHD Display Grey Laptop,67270,62500,5606,Chuwi,Chuwi CoreBook XPro,512GB SSD
Asus VivoBook 15 X1500EA Intel Core i3 1115G4 8GB RAM 512GB SSD 15.6 Inch FHD WV Display Indie Black Laptop,67810,62800,5651,Asus,Asus VivoBook 15 X1500EA,512GB SSD
"Asus VivoBook 15 K513EA Intel Core i3 1115G4 8GB RAM, 512GB SSD 15.6 Inch FHD OLED Display Hearty Gold Laptop",68360,63800,5697,Asus,Asus VivoBook 15 K513EA,512GB SSD
Lenovo IdeaPad Slim 3i 15IAU7 Intel Core i3 1215U 8GB RAM 512GB SSD 15.6 Inch FHD Display Abyss Blue Laptop,69220,64000,5768,Lenovo,Lenovo IdeaPad Slim 3i 15IAU7,512GB SSD
Dell Inspiron 15 3520 Intel Core i3 1215U 8GB RAM 512GB SSD 15.6 Inch FHD Display Carbon Black Laptop,69440,64500,5787,Dell,Dell Inspiron 15 3520,512GB SSD
"Asus VivoBook Go 15 E1504FA AMD Ryzen 3 7320U 8GB RAM, 512GB SSD 15.6 Inch FHD LED Display Mixed Black Laptop",70310,65000,5859,Asus,Asus VivoBook Go 15 E1504FA,512GB SSD
Acer TravelMate P214-53 Intel Core i5 1135G7 8GB RAM 1TB HDD 14 Inch FHD Display Black Laptop,70850,65500,5904,Acer,Acer TravelMate P214-53,1TB HDD
Asus ExpertBook B1 B1500CEAE Intel Core i3 1115G4 8GB RAM 512GB SSD 15.6 Inch FHD Display Star Black Laptop,70850,65500,5904,Asus,Asus ExpertBook B1 B1500CEAE,512GB SSD
"Asus VivoBook 15 X1502ZA Intel Core i3 1215U 8GB RAM, 256GB SSD 15.6 Inch FHD Display Terra Cotta Laptop",71940,66500,5995,Asus,Asus VivoBook 15 X1502ZA,256GB SSD
Asus X515EA Intel Core i5 1135G7 4GB RAM 1TB HDD 15.6 Inch FHD Display Slate Grey Laptop,74110,68500,6176,Asus,Asus X515EA,1TB HDD
Asus X515EA Intel Core i5 1135G7 4GB RAM 1TB HDD 15.6 Inch FHD WV Display Peacock Blue Laptop,74110,68500,6176,Asus,Asus X515EA,1TB
Asus VivoBook 15 X1502ZA Intel Core i3 1220P 4GB RAM 512GB SSD 15.6 Inch FHD WV Display Quiet Blue Laptop,75410,69800,6284,Asus,Asus VivoBook 15 X1502ZA,512GB SSD
Asus X515EA Intel Core i5 1135G7 8GB RAM 1TB HDD + 256GB SSD 15.6 Inch FHD Display Peacock Blue Laptop,75410,69800,6284,Asus,Asus X515EA,1TB HDD+256GB SSD
ASUS Vivobook 15 X1504VA Intel Core i3 1315U 8GB RAM 256GB SSD 15.6 Inch FHD Display Quiet Blue Laptop,76280,70500,6357,Asus,ASUS Vivobook 15 X1504VA,256GB SSD
Lenovo IdeaPad Slim 3i 14IRU8 Intel Core i3 1305U 8GB RAM 512GB SSD 14 Inch FHD IPS Display Arctic Grey Laptop,76280,70500,6357,Lenovo,Lenovo IdeaPad Slim 3i 14IRU8,512GB SSD
HP 15s-fq4786TU Intel Core i5 1155G7 8GB RAM 512GB SSD 15.6 Inch FHD Display Silver Laptop,77040,71300,6420,Hp,HP 15s-fq4786TU,512GB SSD
Asus VivoBook 14 X1402ZA Intel Core i3 1220P 8GB RAM 512GB SSD 14 Inch FHD Display Terra Cotta Laptop,77360,71500,6447,Asus,Asus VivoBook 14 X1402ZA,512GB SSD
Lenovo V15 Gen 3 Intel Core i5 1235U 8GB RAM 512GB SSD 15.6 Inch FHD Display Iron Grey Laptop,77040,71500,6420,Lenovo,Lenovo V15 Gen 3,512GB SSD
"Asus VivoBook 16 X1605ZA Intel Core i3 1215U 8GB RAM, 512GB SSD 16 Inch WUXGA Display Indie Black Laptop",77580,72000,6465,Asus,Asus VivoBook 16 X1605ZA,512GB SSD
Lenovo IdeaPad Slim 3 15ABR8 AMD Ryzen 5 7530U 8GB RAM 512GB SSD 15.6 Inch FHD Antiglare IPS Display Arctic Grey Laptop,78660,72500,6555,Lenovo,Lenovo IdeaPad Slim 3 15ABR8,512GB SSD
HP 15s-eq3619AU AMD Ryzen 5 5625U 8GB RAM 512GB SSD 15.6 Inch FHD Display Spruce Blue Laptop,79210,73200,6601,HP,HP 15s-eq3619AU,512GB SSD
Lenovo IdeaPad Slim 3i 15ITL6 Intel Core i5 1155G7 16GB RAM 512GB SSD 15.6 Inch FHD Display Arctic Grey Laptop,79530,73500,6628,Lenovo,Lenovo IdeaPad Slim 3i 15ITL6,512GB SSD
