title,url,processor Type,Generation,Price
MSI Modern 15 A11MU Intel Core i7 1195G7 8GB RAM 512GB SSD 15.6 Inch FHD Display Carbon Gray Laptop,https://www.ryanscomputers.com/msi-modern-15-a11mu-intel-core-i7-1195g7-15.6-inch-fhd-ips-display-carbon-gray-laptop, Core i7, 11th (Intel),"Tk 77,000 "
MSI Modern 14 C11M Intel Core i7 1195G7 8GB RAM 512GB SSD 14 Inch FHD Display Classic Black Laptop,https://www.ryanscomputers.com/msi-modern-14-c11m-11th-gen-intel-core-i7-1195g7-14-inch-fhd-ips-60hz-display-classic-black-laptop, Core i7, 11th (Intel),"Tk 82,500 "
Lenovo IdeaPad Slim 3i 15ITL6 Intel Core i7 1165G7 8GB RAM 512GB SSD 15.6 Inch FHD Antiglare LED Display Abyss Blue Laptop,https://www.ryanscomputers.com/lenovo-ideapad-slim-3i-15itl6-intel-core-i7-1165g7-15.6-inch-fhd-antiglare-led-display-abyss-blue-laptop, Core i7, 11th (Intel),"Tk 83,000 "
"Acer Aspire 5 5M-A515-58GM Intel Core i5 1335U 16GB RAM, 512GB SSD 15.6 Inch FHD IPS Display Steel Gray Gaming Laptop",https://www.ryanscomputers.com/acer-aspire-5-5m-a515-58gm-intel-core-i5-1335u-16gb-ram-512gb-ssd-15.6-inch-fhd-ips-display-steel-gray-gaming-laptop, Core i5, 13th (Intel), 
"Acer Swift Go 14 SFG14-71-557P Intel Core i5 13500H 16GB RAM, 512GB SSD 14 Inch 2.8K OLED WQHD Display Sunshiny Gold Laptop",https://www.ryanscomputers.com/acer-swift-go-14-sfg14-71-557p-intel-core-i5-13500h-16gb-ram-512gb-ssd-14-inch-2.8k-oled-wqhd-display-sunshiny-gold-laptop, Core i5, 13th (Intel),"Tk 88,000 "
Gigabyte Gaming G5 KE Intel Core i5 12500H 8GB RAM 512GB SSD 15.6 Inch FHD Display Matte Black Gaming Laptop,https://www.ryanscomputers.com/gigabyte-gaming-g5-ke-intel-core-i5-12500h-15.6-inch-fhd-display-512gb-ssd-matte-black-gaming-laptop, Core i5, 12th (Intel),"Tk 88,500 "
Lenovo IdeaPad Gaming 3i 15IHU Intel Core i7 11370H 16GB RAM 1TB HDD + 256GB SSD 15.6 Inch FHD Display Shadow Black Gaming Laptop #82K100WFIN-3Y,https://www.ryanscomputers.com/lenovo-ideapad-gaming-3i-15ihu-intel-core-i7-11370h-shadow-black-gaming-laptop, Core i7, 11th (Intel),"Tk 89,500 "
Chuwi HeroBook Pro Intel CDC N4020 8GB RAM 256GB SSD 14.1 Inch FHD Display Grey Laptop,https://www.ryanscomputers.com/chuwi-herobook-pro-intel-cdc-n4020-14.1-inch-fhd-display-grey-laptop, Intel Celeron, Not Applicable,"Tk 95,000 "
Chuwi GemiBook XPro Intel Core N100 8GB RAM 256GB SSD 14.1 Inch FHD Display Grey Laptop,https://www.ryanscomputers.com/chuwi-gemibook-xpro-intel-core-n100-14.1-inch-fhd-display-grey-laptop, Intel Celeron, 12th Standard (Intel),"Tk 95,500 "
Lenovo IdeaPad Slim 3i 15IGL Intel CDC N4020 4GB RAM 1TB HDD 15.6 Inch HD Display Platinum Grey Laptop,https://www.ryanscomputers.com/lenovo-ideapad-slim-3i-15igl-intel-cdc-n4020-15.6-inch-hd-display-platinum-grey-laptop-81wq00q2in-2y, Core N100, Not Applicable,"Tk 99,500 "
Chuwi GemiBook Plus Intel Core N100 8GB RAM 256GB SSD 15.6 Inch FHD Display Grey Laptop,https://www.ryanscomputers.com/chuwi-gemibook-plus-intel-core-n100-15.6-inch-fhd-display-grey-laptop, Intel Celeron, 12th Standard (Intel),"Tk 119,000 "
Lenovo IdeaPad Slim 3i 15IGL Intel CDC N4020 4GB RAM 1TB HDD 15.6 Inch HD Antiglare Display Platinum Grey Laptop,https://www.ryanscomputers.com/lenovo-ideapad-slim-3i-15igl-intel-cdc-n4020-platinum-grey-laptop, Intel Celeron, Not Applicable,"Tk 146,000 "
"Lenovo IdeaPad Slim 1i 15IGL7 Intel CDC N4020 8GB RAM, 256GB SSD 15.6 Inch FHD Display Cloud Grey Laptop",https://www.ryanscomputers.com/lenovo-ideapad-slim-1i-15igl7-intel-cdc-n4020-8gb-ram-256gb-ssd-15.6-inch-fhd-display-cloud-grey-laptop, Intel Celeron, Not Applicable,"Tk 118,000 "
HP 250 G8 Intel CDC N4020 4GB RAM 1TB HDD 15.6 Inch FHD Display Dark Ash Silver Laptop,https://www.ryanscomputers.com/hp-250-g8-intel-cdc-n4020-15.6-inch-fhd-display-dark-ash-silver-laptop, Intel Celeron, Not Applicable,"Tk 28,800 "
Asus X415KA Intel CDC N4500 4GB RAM 1TB HDD 14 Inch FHD Display Slate Grey Laptop,https://www.ryanscomputers.com/asus-x415ka-intel-cdc-n4500-14-inch-slate-grey-laptop, Intel Celeron, Not Applicable,"Tk 34,900 "
Asus X515MA Intel CDC N4020 4GB RAM 1TB HDD 15.6 Inch FHD Display Transparent Silver Laptop #BQ675W-X515MA,https://www.ryanscomputers.com/asus-x515ma-intel-cdc-n4020-15.6-inch-fhd-wv-display-transparent-silver-laptop, Intel Celeron, Not Applicable,"Tk 35,000 "
Asus X515KA Intel CDC N4500 4GB RAM 1TB HDD 15.6 Inch FHD Display Transparent Silver Laptop,https://www.ryanscomputers.com/asus-x515ka-intel-cdc-n4500-4gb-ddr4-15.6-inch-display-fhd-transparent-silver-laptop, Intel Celeron, Not Applicable,"Tk 35,900 "
Asus X515KA Intel CDC N4500 4GB RAM 1TB HDD 15.6 Inch FHD Display Slate Grey Laptop,https://www.ryanscomputers.com/asus-x515ka-intel-cdc-n4500-15.6-inch-fhd-display-slate-grey-laptop, Intel Celeron, Not Applicable,"Tk 36,000 "
Asus X515MA Intel CDC N4020 4GB RAM 1TB HDD 15.6 Inch FHD Display Slate Grey Laptop,https://www.ryanscomputers.com/asus-x515ma-intel-cdc-n4020-15.6-inch-fhd-display-slate-grey-laptop, Intel Celeron, Not Applicable,"Tk 36,500 "
Asus VivoBook 14 E410MA Intel CDC N4020 4GB RAM 256GB SSD 14 Inch HD Display Blue Laptop,https://www.ryanscomputers.com/asus-vivobook-14-e410ma-peacock-blue-laptop, Core i3, Not Applicable,"Tk 38,500 "
Acer Extensa 15 EX215-54-34SE Intel Core i3 1115G4 4GB RAM 1TB HDD 15.6 Inch FHD Display Charcoal Black Laptop,https://www.ryanscomputers.com/acer-extensa-15-ex215-54-34se-intel-core-i3-1115g4-15.6-inch-fhd-charcoal-black-laptop, Ryzen 3, 11th (Intel),"Tk 39,500 "
Asus D415DA AMD Ryzen 3 3250U 4GB RAM 1TB HDD 14 Inch HD Display Slate Grey Laptop,https://www.ryanscomputers.com/asus-d415da-amd-ryzen-3-3250u-14-inch-hd-display-slate-grey-laptop, Ryzen 3, Not Applicable,"Tk 40,500 "
Asus M515DA AMD Ryzen 3 3250U 4GB RAM 1TB HDD 15.6 Inch HD Display Slate Grey Laptop,https://www.ryanscomputers.com/asus-m515da-amd-ryzen-3-3250u-15.6-inch-hd-led-display-slate-grey-laptop, Intel Celeron, Not Applicable,"Tk 40,500 "
Asus E510MA Intel CDC N4020 4GB RAM 512GB SSD 15.6 Inch FHD Display Star Black Laptop #EJ601W-E510MA,https://www.ryanscomputers.com/asus-e510ma-star-black-laptop, Ryzen 3, Not Applicable,"Tk 40,500 "
"Asus D415DA AMD Ryzen 3 3250U 8GB RAM 1TB HDD 14 Inch HD Display, Slate Grey Laptop",https://www.ryanscomputers.com/asus-d415da-amd-ryzen-3-3250u-8gb-ram-1tb-hdd-14-inch-hd-display-slate-grey-laptop, Ryzen 3, Not Applicable,"Tk 43,500 "
Asus M515DA AMD Ryzen 3 3250U 8GB RAM 1TB HDD 15.6 Inch HD Display Slate Grey Laptop,https://www.ryanscomputers.com/asus-m515da-amd-ryzen-3-3250u-15.6-inch-hd-display-slate-grey-laptop, Ryzen 3, Not Applicable,"Tk 44,000 "
Chuwi MiniBook X 2 in 1 Intel Core N100 12GB RAM 512GB SSD 10.5 Inch FHD+ WUXGA Touch Display Grey Laptop,https://www.ryanscomputers.com/chuwi-minibook-x-2-in-1-intel-core-n100-10.5-inch-fhd-plus-wuxga-touch-display-grey-laptop, Ryzen 3, 12th Standard (Intel),"Tk 46,500 "
Asus D515DA AMD Ryzen 3 3250U 4GB RAM 512GB SSD 15.6 Inch FHD Display Slate Grey Laptop #EJ1325W-D515DA,https://www.ryanscomputers.com/asus-d515da-amd-ryzen-3-3250u-15.6-inch-fhd-display-win-11-slate-grey-laptop, Core i5, Not Applicable,"Tk 46,500 "
Asus D515DA AMD Ryzen 3 3250U 4GB RAM 512GB SSD 15.6 Inch FHD Display Slate Grey Laptop #D515DA-EJ1576W,https://www.ryanscomputers.com/asus-d515da-amd-ryzen-3-3250u-15.6-inch-fhd-display-slate-grey-laptop-d515da-ej1576w, Core i3, Not Applicable,"Tk 46,500 "
Chuwi UBook X 2 in 1 Intel Core i5 10210Y 8GB RAM 256GB SSD 12 Inch 2K Touch Display Grey Laptop,https://www.ryanscomputers.com/chuwi-ubook-x-2-in-1-intel-core-i5-10210y-12-inch-2k-touch-display-grey-laptop, Ryzen 3, 10th (Intel),"Tk 47,000 "
